Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb,-9999
175,D.J. Moore,CAR,25,WR,17,17,10,53,0,3,80.0,11,5.3,3.1,0,MoorD.00
176,Pierre Strong,NWE,24,RB,15,0,10,100,1,5,70.0,44,10.0,6.7,0,StroPi00
177,J.J. Taylor,NWE,24,RB,1,0,10,9,0,0,0.0,5,0.9,9.0,0,TaylJJ01
178,Patrick Taylor,GNB,24,RB,14,0,10,31,0,2,40.0,6,3.1,2.2,0,TaylPa01
179,Bailey Zappe,NWE,23,QB,4,2,10,0,0,0,10.0,5,0.0,0.0,4,ZappBa00
180,Tutu Atwell,LAR,23,WR,13,4,9,34,1,2,66.7,11,3.8,2.6,0,AtweTu00
181,Braxton Berrios,NYJ,27,WR,17,2,9,91,2,5,55.6,25,10.1,5.4,1,BerrBr00
182,Spencer Brown,CAR,24,RB,2,0,9,43,0,1,66.7,7,4.8,21.5,0,BrowSp01
183,Julius Chestnut,TEN,22,RB,6,0,9,12,0,1,33.3,5,1.3,2.0,0,ChesJu00
184,Chase Claypool,2TM,24,WR,15,11,9,59,0,3,44.4,15,6.6,3.9,1,ClayCh01
185,Velus Jones Jr.,CHI,25,WR,12,2,9,103,1,5,66.7,42,11.4,8.6,3,JoneVe00
186,Cooper Kupp,LAR,29,WR,9,9,9,52,1,4,66.7,20,5.8,5.8,2,KuppCo00
187,Isaiah McKenzie,BUF,27,WR,15,8,9,55,1,3,66.7,18,6.1,3.7,0,McKeIs00
188,Kene Nwangwu,MIN,24,RB,17,0,9,14,0,1,33.3,8,1.6,0.8,0,NwanKe00
189,Ronnie Rivers,LAR,23,RB,8,1,9,21,0,1,44.4,5,2.3,2.6,0,RiveRo01
190,Cooper Rush,DAL,29,QB,9,5,9,6,0,1,11.1,6,0.7,0.7,2,RushCo00
191,Laviska Shenault Jr.,CAR,24,WR,13,4,9,65,1,1,33.3,41,7.2,5.0,0,ShenLa00
192,Amon-Ra St. Brown*,DET,23,WR,16,16,9,95,0,3,55.6,58,10.6,5.9,0,StxxAm00
193,Chris Streveler,NYJ,27,QB,2,1,9,54,0,1,55.6,14,6.0,27.0,1,StreCh00
194,Derek Watt,PIT,30,FB,17,3,9,21,1,8,88.9,4,2.3,1.2,0,WattDe00
195,Giovani Bernard,TAM,31,RB,8,0,8,28,0,0,50.0,8,3.5,3.5,1,BernGi00
